search_strategy,num_words,num_states,query_len,num_beam,recall,results,query,target,lattice_num_states,alpha,search_stage,time_seconds,words_per_sec
beam_forward_backward,20,132,10,100.0,0.0,"[('nightdress', 8.000000000096477), ('monolatry', 8.99998019158961), ('gedackt', 8.999980191782292), ('pythonist', 8.999999999902599), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('planeta', 8.999999999998362), ('halinous', 8.99999999999843), ('botryoidal', 9.00064016919705), ('pagedom', 9.993017486198873), ('amylamine', 9.999980191685953), ('sewan', 9.999980191685953), ('cretaceous', 10.000000000000068), ('uniformness', 10.000000000000068), ('resinousness', 10.000000000000068), ('bullsticker', 10.00064016919592), ('patisserie', 10.993017486199008), ('imperceptible', 13.993017486197234), ('mononymy', 13.999999999806699), ('unentertainable', 15.999980191685953)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.0011202319874428213,892.6722421868371
beam,20,132,10,200.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('mononymy', 9.0), ('cretaceous', 9.0), ('credit', 9.0), ('botryoidal', 9.0), ('bullsticker', 9.0), ('amylamine', 10.0), ('monolatry', 10.0), ('nightdress', 10.0), ('sourock', 10.0), ('uniformness', 11.0), ('resinousness', 12.0), ('imperceptible', 12.0), ('unentertainable', 14.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.00024167803348973393,4137.736415512824
beam,20,132,10,200.0,0.0,"[('monolatry', 8.999980191589612), ('gedackt', 8.999980191782292), ('pythonist', 8.999999999902599), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('planeta', 8.999999999998362), ('halinous', 8.99999999999843), ('nightdress', 9.000000000000068), ('botryoidal', 9.00064016919705), ('pagedom', 9.993017486198873), ('amylamine', 9.999980191685953), ('sewan', 9.999980191685953), ('mononymy', 9.999999999902021), ('cretaceous', 10.0), ('patisserie', 10.0), ('bullsticker', 10.00064016919592), ('uniformness', 11.0), ('resinousness', 11.000000000000068), ('imperceptible', 12.999999999999932), ('unentertainable', 15.0)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.00023925298592075706,4179.676153890133
beam_forward_backward,20,132,10,200.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('mononymy', 9.0), ('cretaceous', 9.0), ('credit', 9.0), ('botryoidal', 9.0), ('bullsticker', 9.0), ('amylamine', 10.0), ('monolatry', 10.0), ('nightdress', 10.0), ('sourock', 10.0), ('uniformness', 10.0), ('resinousness', 10.0), ('imperceptible', 12.0), ('unentertainable', 14.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0011593670351430774,862.5396183328519
beam_forward_backward,20,132,10,200.0,0.0,"[('nightdress', 8.000000000096477), ('monolatry', 8.99998019158961), ('gedackt', 8.999980191782292), ('pythonist', 8.999999999902599), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('planeta', 8.999999999998362), ('halinous', 8.99999999999843), ('botryoidal', 9.000640169197048), ('pagedom', 9.993017486198873), ('amylamine', 9.999980191685953), ('sewan', 9.999980191685953), ('mononymy', 9.999999999902021), ('cretaceous', 10.0), ('patisserie', 10.0), ('uniformness', 10.000000000000068), ('resinousness', 10.000000000000068), ('bullsticker', 10.00064016919592), ('imperceptible', 12.999999999999932), ('unentertainable', 15.0)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.001145881018601358,872.6909546163722
edit_graph,20,132,12,,,"[('botryoidal', 5.0)]",btwwtryoipak,botryoidal,17.0,,lexicon_preproc_time,0.005295041017234325,188.85594969806561
edit_graph,20,132,12,,,"[('botryoidal', 5.0)]",btwwtryoipak,botryoidal,17.0,0.001,lexicon_preproc_time,0.18227638397365808,5.4861742272905545
beam,20,132,12,10.0,1.0,"[('botryoidal', 5.0), ('bullsticker', 11.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.0003043769975192845,3285.399383495275
beam,20,132,12,10.0,0.0,"[('pagedom', 9.000000005609468), ('patisserie', 9.997988670333273)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.00023903301917016506,4183.5224416761885
beam_forward_backward,20,132,12,10.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('bullsticker', 11.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.001145780028309673,872.7678745415584
beam_forward_backward,20,132,12,10.0,0.0,"[('pagedom', 9.000000005609468), ('patisserie', 9.997988670333273), ('imperceptible', 10.998564983886148), ('unentertainable', 12.9986496722973)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.001143466040957719,874.53406063764
beam,20,132,12,20.0,1.0,"[('botryoidal', 5.0), ('bullsticker', 11.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.00023810204584151506,4199.879914789215
beam,20,132,12,20.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('patisserie', 9.997988670333273), ('nightdress', 9.999935313351749)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.00023648800561204553,4228.544265540819
beam_forward_backward,20,132,12,20.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('bullsticker', 11.0), ('planeta', 11.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.0011439469526521862,874.1664092740908
beam_forward_backward,20,132,12,20.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('nightdress', 9.999935313351749), ('unentertainable', 12.9986496722973)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.0011531849741004407,867.1635708573683
beam,20,132,12,50.0,1.0,"[('botryoidal', 5.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 13.0), ('imperceptible', 13.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.0003286529681645334,3042.7231665815066
beam,20,132,12,50.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('amylamine', 10.997922985453634), ('bullsticker', 10.99798958213568), ('botryoidal', 10.999999082662775), ('sewan', 11.000000005534346)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.00025973201263695955,3850.1222465701603
beam_forward_backward,20,132,12,50.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 11.0), ('planeta', 11.0), ('imperceptible', 12.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.0012161040212959051,822.2980785265225
beam_forward_backward,20,132,12,50.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('sourock', 10.000064767447054), ('amylamine', 10.997922985453634), ('bullsticker', 10.99798958213568), ('imperceptible', 10.998564983886148), ('botryoidal', 10.999999082662775), ('sewan', 11.000000005534346), ('resinousness', 12.000064767446649), ('unentertainable', 12.9986496722973)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.0011649460066109896,858.4088827508467
beam,20,132,12,100.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 11.0), ('uniformness', 11.0), ('mononymy', 11.0), ('amylamine', 12.0), ('monolatry', 12.0), ('imperceptible', 13.0), ('unentertainable', 14.0), ('resinousness', 15.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.00024272000882774591,4119.973482324987
beam,20,132,12,100.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('sourock', 10.000064767447054), ('amylamine', 10.997922985453634), ('bullsticker', 10.99798958213568), ('botryoidal', 10.999999082662775), ('monolatry', 10.999999999999492), ('mononymy', 10.999999999999492), ('sewan', 11.000000005534346), ('resinousness', 11.998295396285254)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.0002417180221527815,4137.051888369065
beam_forward_backward,20,132,12,100.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 11.0), ('uniformness', 11.0), ('mononymy', 11.0), ('amylamine', 11.0), ('monolatry', 11.0), ('planeta', 11.0), ('pagedom', 11.0), ('halinous', 11.0), ('imperceptible', 12.0), ('unentertainable', 13.0), ('resinousness', 15.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.0011633940157480538,859.5540173524164
beam_forward_backward,20,132,12,100.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('sourock', 10.000064767447054), ('bullsticker', 10.002139952758538), ('amylamine', 10.997922985453634), ('imperceptible', 10.998564983886148), ('botryoidal', 10.999999082662775), ('monolatry', 10.999999999999492), ('mononymy', 10.999999999999492), ('sewan', 11.000000005534346), ('resinousness', 11.998295396285254), ('unentertainable', 12.9986496722973), ('uniformness', 14.000064767447158)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.0011446290300227702,873.6454989090281
beam,20,132,12,200.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 11.0), ('uniformness', 11.0), ('mononymy', 11.0), ('halinous', 11.0), ('pagedom', 11.0), ('amylamine', 11.0), ('planeta', 11.0), ('gedackt', 12.0), ('monolatry', 12.0), ('resinousness', 12.0), ('imperceptible', 13.0), ('unentertainable', 14.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.00023969396715983748,4171.98652034976
beam,20,132,12,200.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('sourock', 10.000064767447054), ('bullsticker', 10.002139952758538), ('amylamine', 10.997922985453634), ('botryoidal', 10.999999082662775), ('monolatry', 10.999999999999492), ('mononymy', 10.999999999999492), ('resinousness', 11.000000000000068), ('uniformness', 11.000000000000068), ('sewan', 11.000000005534346), ('credit', 11.000000917315536), ('imperceptible', 13.0), ('unentertainable', 14.000000917336754)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.00024404202122241259,4097.654965284155
beam_forward_backward,20,132,12,200.0,1.0,"[('botryoidal', 5.0), ('sourock', 9.0), ('pythonist', 10.0), ('credit', 10.0), ('sewan', 10.0), ('bullsticker', 11.0), ('cretaceous', 11.0), ('nightdress', 11.0), ('patisserie', 11.0), ('uniformness', 11.0), ('mononymy', 11.0), ('halinous', 11.0), ('pagedom', 11.0), ('amylamine', 11.0), ('planeta', 11.0), ('monolatry', 11.0), ('gedackt', 12.0), ('resinousness', 12.0), ('imperceptible', 12.0), ('unentertainable', 13.0)]",btwwtryoipak,botryoidal,,0.0,lexicon_preproc_time,0.001143386005423963,874.5952768848206
beam_forward_backward,20,132,12,200.0,0.0,"[('halinous', 8.000371504467832), ('pagedom', 9.000000005609468), ('cretaceous', 9.000371504467832), ('patisserie', 9.997988670333273), ('pythonist', 9.999935313159579), ('nightdress', 9.999935313351749), ('gedackt', 10.000000922871102), ('planeta', 10.000000922871102), ('sourock', 10.000064767447054), ('bullsticker', 10.002139952758538), ('amylamine', 10.997922985453634), ('imperceptible', 10.998564983886148), ('botryoidal', 10.999999082662773), ('monolatry', 10.99999999999949), ('mononymy', 10.99999999999949), ('resinousness', 11.000000000000068), ('uniformness', 11.000000000000068), ('sewan', 11.000000005534346), ('credit', 11.000000917315536), ('unentertainable', 12.9986496722973)]",btwwtryoipak,botryoidal,,0.001,lexicon_preproc_time,0.00112439994700253,889.3632578566369
edit_graph,20,132,16,,,"[('imperceptible', 5.0)]",ilpwwerceptibwla,imperceptible,17.0,,lexicon_preproc_time,0.005345506011508405,187.07302879223928
edit_graph,20,132,16,,,"[('imperceptible', 5.0)]",ilpwwerceptibwla,imperceptible,17.0,0.001,lexicon_preproc_time,0.18202305299928412,5.493809622036902
beam,20,132,16,10.0,1.0,"[('imperceptible', 5.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.0002989870263263583,3344.6267294168583
beam,20,132,16,10.0,0.0,"[('unentertainable', 13.000371498933418)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.0002400449593551457,4165.886268498992
beam_forward_backward,20,132,16,10.0,1.0,"[('imperceptible', 5.0), ('unentertainable', 12.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.0011502689449116588,869.361903947429
beam_forward_backward,20,132,16,10.0,0.0,"[('cretaceous', 13.000000005533906), ('unentertainable', 13.000371498933418), ('halinous', 14.000371418231055)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.00113575195427984,880.4739417191513
beam,20,132,16,20.0,1.0,"[('imperceptible', 5.0), ('planeta', 12.0), ('amylamine', 15.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.00023454398615285754,4263.59258407196
beam,20,132,16,20.0,0.0,"[('unentertainable', 13.000371498933418), ('bullsticker', 14.999628501066582), ('botryoidal', 14.999999999978273)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.00023151800269261003,4319.318534065427
beam_forward_backward,20,132,16,20.0,1.0,"[('imperceptible', 5.0), ('planeta', 12.0), ('unentertainable', 12.0), ('amylamine', 15.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.00112475996138528,889.0785895048907
beam_forward_backward,20,132,16,20.0,0.0,"[('nightdress', 12.99993531333053), ('cretaceous', 13.000000005533906), ('unentertainable', 13.000371498933418), ('halinous', 14.000371418231055), ('bullsticker', 14.999628501066582), ('botryoidal', 14.999999999978273)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.001131383003666997,883.8739814535279
beam,20,132,16,50.0,1.0,"[('imperceptible', 5.0), ('planeta', 12.0), ('patisserie', 13.0), ('credit', 13.0), ('pagedom', 14.0), ('cretaceous', 14.0), ('pythonist', 14.0), ('gedackt', 14.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.00023547600721940398,4246.717157337619
beam,20,132,16,50.0,0.0,"[('nightdress', 12.999935313330532), ('cretaceous', 13.000000005533906), ('bullsticker', 13.00033343771123), ('unentertainable', 13.000371498933418), ('gedackt', 13.026963130174057), ('pythonist', 14.000020913373067), ('botryoidal', 14.000640169175831), ('sewan', 15.000000005534346)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.0002363980165682733,4230.153934947222
beam_forward_backward,20,132,16,50.0,1.0,"[('imperceptible', 5.0), ('planeta', 12.0), ('unentertainable', 12.0), ('patisserie', 13.0), ('credit', 13.0), ('botryoidal', 13.0), ('pagedom', 14.0), ('cretaceous', 14.0), ('pythonist', 14.0), ('gedackt', 14.0), ('bullsticker', 14.0), ('sewan', 14.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.0011329559492878616,882.6468501520882
beam_forward_backward,20,132,16,50.0,0.0,"[('nightdress', 12.99993531333053), ('cretaceous', 13.000000005533906), ('bullsticker', 13.00033343771123), ('unentertainable', 13.000371498933418), ('gedackt', 13.026963130174057), ('pythonist', 14.000020913373067), ('resinousness', 14.000064767447158), ('monolatry', 14.000085525044964), ('halinous', 14.000371418231055), ('botryoidal', 14.000640169175831), ('planeta', 14.999999924831915), ('sewan', 15.000000005534346), ('uniformness', 17.000064767447157)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.0011348800035193563,881.1504272688899
beam,20,132,16,100.0,1.0,"[('imperceptible', 5.0), ('unentertainable', 12.0), ('planeta', 12.0), ('patisserie', 13.0), ('credit', 13.0), ('botryoidal', 13.0), ('pagedom', 14.0), ('cretaceous', 14.0), ('nightdress', 14.0), ('pythonist', 14.0), ('gedackt', 14.0), ('sewan', 14.0), ('resinousness', 15.0), ('sourock', 15.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.0002387219574302435,4188.9736946054
beam,20,132,16,100.0,0.0,"[('nightdress', 12.999935313330532), ('cretaceous', 13.000000005533906), ('bullsticker', 13.00033343771123), ('unentertainable', 13.000371498933418), ('gedackt', 13.026963130174057), ('planeta', 14.000000005534346), ('pythonist', 14.000020913373067), ('monolatry', 14.000085525044966), ('halinous', 14.000371418231055), ('uniformness', 14.000371498932978), ('botryoidal', 14.000640169175831), ('amylamine', 14.999999924736084), ('credit', 15.0), ('patisserie', 15.0), ('pagedom', 15.000000000074612), ('sewan', 15.000000005534346)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.00023611797951161861,4235.170917811421
beam_forward_backward,20,132,16,100.0,1.0,"[('imperceptible', 5.0), ('unentertainable', 12.0), ('planeta', 12.0), ('patisserie', 13.0), ('credit', 13.0), ('botryoidal', 13.0), ('pagedom', 14.0), ('cretaceous', 14.0), ('nightdress', 14.0), ('pythonist', 14.0), ('gedackt', 14.0), ('sewan', 14.0), ('bullsticker', 14.0), ('resinousness', 15.0), ('sourock', 15.0), ('amylamine', 15.0), ('halinous', 15.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.001125111011788249,888.8011845254293
beam_forward_backward,20,132,16,100.0,0.0,"[('nightdress', 12.99993531333053), ('cretaceous', 13.000000005533906), ('bullsticker', 13.00033343771123), ('unentertainable', 13.000371498933418), ('gedackt', 13.026963130174057), ('planeta', 14.000000005534346), ('pythonist', 14.000020913373067), ('resinousness', 14.000064767447158), ('sewan', 14.000064772981437), ('monolatry', 14.000085525044964), ('halinous', 14.000371418231055), ('uniformness', 14.000371498932976), ('sourock', 14.00043626638), ('botryoidal', 14.000640169175831), ('amylamine', 14.999999924736084), ('credit', 15.0), ('patisserie', 15.0), ('imperceptible', 15.0), ('pagedom', 15.000000000074612)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.0011353709851391613,880.7693811881505
beam,20,132,16,200.0,1.0,"[('imperceptible', 5.0), ('unentertainable', 12.0), ('planeta', 12.0), ('patisserie', 13.0), ('credit', 13.0), ('botryoidal', 13.0), ('pagedom', 14.0), ('cretaceous', 14.0), ('nightdress', 14.0), ('pythonist', 14.0), ('gedackt', 14.0), ('bullsticker', 14.0), ('sewan', 14.0), ('resinousness', 15.0), ('sourock', 15.0), ('uniformness', 15.0), ('amylamine', 15.0), ('monolatry', 15.0), ('halinous', 15.0), ('mononymy', 16.0)]",ilpwwerceptibwla,imperceptible,,0.0,lexicon_preproc_time,0.00023922300897538662,4180.199907538529
beam,20,132,16,200.0,0.0,"[('nightdress', 12.999935313330532), ('cretaceous', 13.000000005533906), ('bullsticker', 13.00033343771123), ('unentertainable', 13.000371498933418), ('gedackt', 13.026963130174057), ('planeta', 14.000000005534346), ('pythonist', 14.000020913373067), ('resinousness', 14.00006476744716), ('sewan', 14.000064772981437), ('monolatry', 14.000085525044966), ('halinous', 14.000371418231055), ('uniformness', 14.000371498932978), ('sourock', 14.00043626638), ('botryoidal', 14.000640169175831), ('amylamine', 14.999999924736084), ('credit', 15.0), ('patisserie', 15.0), ('imperceptible', 15.0), ('pagedom', 15.000000000074612), ('mononymy', 15.999999999903661)]",ilpwwerceptibwla,imperceptible,,0.001,lexicon_preproc_time,0.0002444639685563743,4090.582370503391
